iter	Passed	Remaining
581	46957	33725
582	47029	33638
583	47098	33549
584	47167	33460
585	47232	33368
586	47297	33277
587	47364	33187
588	47428	33095
589	47503	33010
590	47573	32923
591	47643	32835
592	47704	32741
593	47772	32652
594	47838	32562
595	47905	32472
596	47968	32381
597	48032	32289
598	48096	32198
599	48162	32108
600	48228	32018
601	48293	31928
602	48350	31832
603	48417	31744
604	48487	31656
605	48558	31571
606	48629	31484
607	48696	31396
608	48762	31306
609	48823	31215
610	48886	31124
611	48944	31030
612	49006	30939
613	49069	30848
614	49135	30759
615	49198	30669
616	49263	30580
617	49333	30494
618	49395	30403
619	49467	30318
620	49536	30232
621	49597	30141
622	49655	30048
623	49720	29959
624	49784	29870
625	49843	29778
626	49909	29690
627	49971	29600
628	50032	29510
629	50093	29420
630	50155	29330
631	50219	29241
632	50281	29151
633	50344	29063
634	50405	28973
635	50473	28887
636	50541	28801
637	50606	28713
638	50668	28624
639	50729	28535
640	50788	28444
641	50850	28355
642	50911	28266
643	50977	28180
644	51036	28089
645	51088	27996
646	51145	27904
647	51199	27812
648	51254	27720
649	51310	27628
650	51367	27537
651	51420	27445
652	51484	27358
653	51539	27266
654	51594	27175
655	51650	27084
656	51704	26993
657	51762	26904
658	51827	26818
659	51899	26736
660	51968	26652
661	52032	26566
662	52096	26480
663	52165	26396
664	52231	26312
665	52292	26224
666	52355	26138
667	52424	26055
668	52501	25976
669	52572	25894
670	52640	25810
671	52706	25725
672	52781	25645
673	52847	25561
674	52911	25475
675	52975	25390
676	53039	25305
677	53108	25222
678	53175	25139
679	53244	25056
680	53304	24969
681	53368	24884
682	53434	24800
683	53508	24720
684	53577	24638
685	53647	24555
686	53712	24471
687	53777	24387
688	53838	24301
689	53903	24217
690	53965	24132
691	54029	24047
692	54094	23964
693	54155	23878
694	54207	23788
695	54261	23700
696	54328	23617
697	54379	23528
698	54433	23439
699	54503	23358
700	54568	23275
701	54628	23189
702	54680	23101
703	54773	23029
704	54862	22956
705	54949	22882
706	55038	22809
707	55110	22729
708	55186	22650
709	55254	22568
710	55322	22486
711	55394	22406
712	55485	22334
713	55591	22267
714	55674	22191
715	55756	22115
716	55832	22037
717	55902	21956
718	55984	21879
719	56089	21812
720	56196	21746
721	56291	21674
722	56377	21599
723	56477	21530
724	56571	21458
725	56658	21383
726	56763	21315
727	56861	21245
728	56947	21169
729	57032	21094
730	57127	21022
731	57226	20951
732	57325	20881
733	57409	20805
734	57501	20731
735	57589	20657
736	57672	20580
737	57750	20502
738	57817	20420
739	57881	20336
740	57942	20252
741	58005	20169
742	58098	20095
743	58191	20022
744	58286	19950
745	58359	19870
746	58447	19795
747	58527	19717
748	58606	19639
749	58706	19568
750	58808	19498
751	58907	19426
752	58992	19350
753	59074	19273
754	59183	19205
755	59292	19136
756	59391	19065
757	59498	18995
758	59610	18927
759	59701	18853
760	59796	18779
761	59889	18705
762	59972	18628
763	60061	18552
764	60150	18477
765	60259	18408
766	60366	18338
767	60441	18258
768	60529	18182
769	60610	18104
770	60709	18031
771	60799	17956
772	60914	17888
773	61012	17814
774	61103	17739
775	61208	17668
776	61307	17595
777	61397	17519
778	61504	17448
779	61591	17371
780	61694	17299
781	61797	17227
782	61889	17151
783	61972	17073
784	62057	16996
785	62145	16920
786	62234	16843
787	62318	16765
788	62394	16685
789	62465	16604
790	62532	16522
791	62594	16439
792	62671	16359
793	62776	16286
794	62880	16214
795	62975	16139
796	63076	16065
797	63178	15992
798	63273	15917
799	63373	15843
800	63494	15774
801	63591	15699
802	63695	15626
803	63795	15552
804	63889	15476
805	63976	15398
806	64075	15324
807	64173	15249
808	64270	15173
809	64382	15101
810	64495	15030
811	64586	14953
812	64688	14879
813	64785	14803
814	64880	14727
815	64985	14653
816	65082	14577
817	65170	14500
818	65263	14423
819	65367	14348
820	65475	14275
821	65574	14199
822	65665	14122
823	65760	14045
824	65852	13968
825	65962	13895
826	66066	13820
827	66170	13745
828	66275	13670
829	66378	13595
830	66491	13522
831	66610	13450
832	66705	13373
833	66809	13297
834	66906	13220
835	66983	13140
836	67087	13064
837	67193	12989
838	67291	12912
839	67398	12837
840	67516	12764
841	67609	12686
842	67723	12612
843	67823	12536
844	67921	12458
845	68009	12379
846	68120	12305
847	68210	12226
848	68317	12150
849	68437	12077
850	68538	12000
851	68628	11921
852	68740	11846
853	68847	11770
854	68932	11690
855	69017	11610
856	69102	11530
857	69218	11455
858	69339	11381
859	69478	11310
860	69623	11239
861	69726	11162
862	69851	11088
863	70000	11018
864	70126	10944
865	70230	10867
866	70337	10790
867	70460	10715
868	70579	10639
869	70679	10561
870	70807	10487
871	70953	10415
872	71081	10340
873	71190	10263
874	71363	10194
875	71525	10124
876	71647	10048
877	71739	9968
878	71865	9892
879	71961	9812
880	72058	9733
881	72131	9650
882	72205	9567
883	72280	9484
884	72358	9402
885	72479	9325
886	72579	9246
887	72650	9163
888	72724	9080
889	72803	8998
890	72894	8917
891	72995	8837
892	73115	8760
893	73220	8681
894	73332	8603
895	73453	8525
896	73588	8450
897	73704	8371
898	73804	8291
899	73898	8210
900	74001	8131
901	74095	8050
902	74179	7968
903	74258	7885
904	74332	7802
905	74412	7720
906	74488	7637
907	74565	7555
908	74636	7471
909	74711	7389
910	74786	7306
911	74859	7223
912	74932	7140
913	75005	7057
914	75072	6973
915	75138	6890
916	75206	6807
917	75265	6723
918	75328	6639
919	75398	6556
920	75473	6473
921	75541	6390
922	75605	6307
923	75673	6224
924	75737	6140
925	75797	6057
926	75859	5973
927	75922	5890
928	75985	5807
929	76054	5724
930	76115	5641
931	76178	5558
932	76240	5474
933	76306	5392
934	76373	5309
935	76442	5226
936	76509	5144
937	76565	5060
938	76624	4977
939	76692	4895
940	76760	4812
941	76822	4730
942	76887	4647
943	76946	4564
944	77011	4482
945	77076	4399
946	77138	4317
947	77199	4234
948	77264	4152
949	77330	4070
950	77393	3987
951	77463	3905
952	77527	3823
953	77588	3741
954	77651	3658
955	77717	3576
956	77778	3494
957	77840	3412
958	77902	3330
959	77964	3248
960	78023	3166
961	78083	3084
962	78145	3002
963	78207	2920
964	78270	2838
965	78331	2756
966	78397	2675
967	78463	2593
968	78525	2512
969	78583	2430
970	78649	2348
971	78711	2267
972	78772	2185
973	78828	2104
974	78890	2022
975	78954	1941
976	79018	1860
977	79080	1778
978	79142	1697
979	79212	1616
980	79278	1535
981	79349	1454
982	79430	1373
983	79496	1292
984	79551	1211
985	79609	1130
986	79662	1049
987	79716	968
988	79772	887
989	79831	806
990	79884	725
991	79934	644
992	79993	563
993	80049	483
994	80107	402
995	80160	321
996	80213	241
997	80270	160
998	80322	80
999	80385	0
